question,answer
What is WHO's response to Zika?,"Zika virus and its complications such as microcephaly and Guillain-Barré syndrome represent a new type of public health threat with long-term consequences for families, communities and countries. WHO and partners support countries in preparing for and responding to Zika to the fullest extent possible. The main pillars of their work, as outlined in the Zika Strategic Response Plan, July 2016 to December 2017, are:• Detection - Develop, strengthen and implement integrated surveillance systems for Zika virus disease, its neurological complications and other diseases that are transmitted by Aedes mosquitoes. This helps to measure burden of disease to guide sound public health interventions.• Prevention - Prevent complications associated with Zika virus infection through mosquito control that prevents the Aedes mosquito from transmitting Zika virus, chikungunya, dengue and yellow fever to humans; communicate risks to people’s health and engage communities in prevention activities.• Care and support - Strengthen health and social systems to provide appropriate services and support to individuals, families and communities affected by Zika and related complications.• Research – 1) Generate data and evidence needed to strengthen public health and community guidance and interventions to prevent, detect and control Zika virus infection and to manage its complications. 2) Fast track and scale up the research, development and availability of Aedes mosquito control tools, diagnostic tests and vaccines.• Coordination – WHO coordinates the Zika response through close collaboration with more than 60 partners and facilitates information sharing among them and with countries.More on WHO's Strategic Response PlanZika situation report (data on occurrence and/or spread of Zika virus, microcephaly and Guillain-Barré syndrome)Risk communication"
What does WHO recommend countries to do?,"WHO is supporting countries in the areas of detection, prevention, care and support and R&D in line with the Zika Strategic Response Plan. Furthermore, WHO has issued technical guidance for policy-makers and health-care professionals in critical areas of preparedness and response. As listed under the respective questions above, recommendations range from how to provide psychosocial support to pregnant women and families affected by Zika and neurological complications, to how to diagnose Zika virus infection in laboratories to how to protect the health and safety of workers in emergency mosquito control.Zika Strategic Response PlanPublications, technical guidance on Zika virus"
Do I need to pay to participate in the scheme?,"Participation in the scheme is currently free of charge; the laboratory simply has to cover any costs associated with the reception of the panels (e.g. customs charges, travel to nearest airport) and the testing itself.However, to ensure the long-term sustainability of the scheme, the implementation of a participation fee is planned for the near future to cover at least part of the running costs of the scheme. The fee will be determined based on a dedicated cost estimation model."
What is the composition of the EQA panels?,"Currently, the panel includes 10 lyophilized blood (LB) and 10 dried blood spot (DBS) samples. Malaria-containing samples have varying parasite densities, ranging from 50 to 2 000 000 parasites per microliter of blood (p/mL). Parasite-positive samples can be from any of the five species known to infect humans, i.e. P. falciparum, P. vivax, P. malariae, P. ovale or P. knowlesi, depending on availability. The lyophilized and DBS samples do not share the same composition, i.e. different species and/or parasite densities can be included."
How are the panels prepared?,"Briefly, parasites are obtained either through in vitro culture of laboratory strains – in the case of P. falciparum and P. knowlesi – or by using leftover blood from clinical samples. Parasite-negative blood for negative control samples and for the dilution of parasites is obtained from accredited blood banks and pre-screened by PCR to confirm the absence of Plasmodium parasites.After determining the densities of the cultured or clinical parasite samples by expert microscopy, they are diluted with parasite-negative blood to parasite densities ranging from 50 to 2 000 000 p/mL. Samples are mixed thoroughly at each dilution step. To prepare LB samples, dilutions are then aliquoted in 500 µL volumes and lyophilized. To prepare DBS samples, 50 µL volumes are deposited on Protein Saver 903 DBS cards and air-dried for 3–4 hours. All samples are stored at -80°C for long-term storage, but can be shipped and transported at ambient temperature.A more detailed description of the preparation procedures can be found in the Operational Manual of the WHO NAAT EQA scheme, version 1.0."
What method should I use for testing the panels?,"Each laboratory should test the panels using the extraction and amplification methods that it routinely uses for testing clinical or research study samples. Laboratories are permitted to submit only one result per sample. Laboratories are requested to provide information on the methods used, such as the test’s name or kit details, along with their final result in the online results submission form. Repeat testing should only be done in the case of indeterminate results or suspicion of methodological errors, just as would be done routinely for any clinical or research study sample."
What if I get substandard scoring results?,"An incident review form is available online from the UK NEQAS website. Laboratories receiving substandard results should complete this form and send it to the scheme manager at [email protected], with copy to the WHO contact at [email protected]. Laboratories can also request a repeat panel to be shipped for re-testing and further investigation, at the same e-mail addresses. Additional remote technical support is currently provided by FIND (until 30 June 2018) and by members of the WHO Advisory Group and/or representatives of the referee laboratories if their time and workload allow. It is the participating laboratory’s right to decide if its EQA results can be shared with these third-party sources of technical support, as well as other information such as instruments or reagents used and results from any repeat or troubleshooting experiments generated through this investigational process.It is the participating laboratory’s right to decide if its EQA results can be shared with these third-party sources of technical support, as well as other information such as instruments or reagents used and results from any repeat or troubleshooting experiments generated through this investigational process.From time to time, webinars will be organized to give registered laboratories the opportunity to ask questions from a panel of experts in the field of molecular-based malaria diagnostics.Ultimately, it is the laboratory’s responsibility to investigate and address any problems. Sponsors of the laboratory should consider allocating appropriate resources to improve the quality management system (QMS) of the laboratory, as required."
Are results kept confidential?,"Yes. All testing results are kept strictly confidential; only the laboratory itself can access them through the UK NEQAS webportal using its specific login and password. Otherwise, only staff from the scheme’s organizing team can access individual results for the purposes of data analysis and reporting. Only anonymized and aggregated results will be used for publication or communication to the scheme’s Advisory Group.If substandard results require any remedial action or technical support, the scheme organizers will first seek the laboratory’s interest and approval to involve any third parties such as technical staff from FIND or members of the Advisory Group. If the laboratory agrees, test results will then be communicated to facilitate troubleshooting and remediation."
Can I communicate my results to others?,"Each laboratory is free to communicate part or all of its testing results to any third party without the need to inform WHO or UK NEQAS. Communication of the scheme results is encouraged in order to confirm the laboratory’s performance level for potential collaborators, donors, regulatory authorities and others. Communication of substandard results is also encouraged in order to seek assistance or funding for training workshops, and to work on improving the laboratory’s performance."
How can I get help if facing problems with the webpage?,"Participants can send an e-mail to the UK NEQAS scheme manager at [email protected], with a description of the problem, screenshots or other useful information."
How can I get help to improve my performance?,"As described under the question ‘what if I get substandard results’, the laboratory can request a repeat panel to be shipped for re-testing and further investigation of the reasons behind the bad results. Repeat panels can be requested by contacting the scheme manager at [email protected], with copy to the WHO contact at [email protected]. Remote technical support can also be offered by FIND (until 30 June 2018) and/or staff from the referee laboratories of the scheme and the WHO Advisory Group, depending on availability.It is nevertheless the laboratory’s responsibility to work on improving its performance and solving any quality issues. Therefore, other options should also be considered, including participating in training workshops, working with collaborating laboratories, investing in an improved QMS, and so on."
What happens if I drop a specimen vial by mistake?,"If a specimen vial from the EQA panel set gets damaged, dropped or lost for some reason, the scheme can send repeat specimens. For this, the laboratory can simply contact the scheme manager at [email protected], with copy to the WHO contact at [email protected], explaining the reason for the request and specifying how many vials of which specimen are required. As the scheme is run with limited funding, this offer of repeat specimens should be used sparingly, only in the case of real need."
Is the WHO NAAT EQA scheme accredited to any ISO standards?,"The WHO NAAT EQA scheme is conducted at the same quality standard as UK NEQAS’s own molecular malaria scheme. UK NEQAS holds a UKAS accreditation in accordance with ISO 17043: 2010, which means that all laboratory procedures, processes, infrastructure, staff, data, documents etc. are managed according to well-defined procedures and at a high level of quality, as defined by the ISO 17043: 2010 standard."
What is a mass gathering?,"A mass gathering is a planned or spontaneous event where the number of people attending could strain the planning and response resources of the community or country hosting the event. The Olympic Games, The Hajj, and other major sporting, religious, and cultural events are all examples of a mass gathering.Mass gatherings may stretch health systems beyond their capacity; however, these events also present opportunities for long-lasting positive effects such as a stronger public health systems after the event, or residents and visitors that are better informed about how they can protect themselves from certain diseases."
What is WHO’s role in mass gatherings?,"WHO provides advice and technical support to host governments preparing for mass gathering events.The goal is to make large international events as safe as possible from public health risks and to encourage a positive public health legacy from these events. This includes lessons learnt for future mass gathering events and an improved health system in the host country.For example, WHO, PAHO and Public Health England, WHO Collaborating Centre in Mass Gatherings and Global Health Security, have been providing expertise to the government of Brazil on planning for mass gatherings since 2012, including the FIFA World Cup in 2014 and the Rio 2016 Games."
What kind of mass gatherings is WHO working on?,"WHO has provided public health assessments, guidance and advice for a range of cultural, religious and sports mass gatherings.For example, the WHO Office for the European Region provided advice and technical support to WHO Member States that hosted the London 2012 Olympic Games, the 2012 UEFA European Football Championships in Poland and Ukraine and the 2014 Winter Olympics in Sochi, Russian Federation.WHO has also provided advice and technical support to Saudi Arabia for The Hajj, in particular with respect to Middle East Respiratory Syndrome (MERS). The Hajj is the largest annual recurring mass gathering event, which attracts roughly 10 million people from more than 180 countries across the globe."
How does WHO provide support to Member States for mass gatherings?,"To provide advice and technical support to Member States that are hosting mass gatherings, WHO draws on 5 WHO Collaborating Centres for Mass Gatherings and a Virtual Interdisciplinary Advisory Group (VIAG). VIAG is an informal network of mass gathering experts. Their role is to share expertise on public health requirements and best practices with any organization considering hosting a mass gathering event.Activities to support host governments of mass gatherings often include:Prior to the event: all-hazard risk assessment, travel medicine and activities to encourage increased physical activity, cessation of tobacco use and avoidance of excess alcohol.During the event: international monitoring of potential disease spread and risk assessment, emergency medical services and hospitals and plans to manage fan zones.After the event: capture lessons learnt and share expertise with future mass gathering hosts.For example, for the 2010 FIFA World Cup South Africa, WHO and other organizations helped the Department of Health of South Africa to design the reporting and oversight methodology for establishing health operations centres at the national and provincial level."
What governs WHO’s work on mass gatherings?,"WHO’s work on mass gatherings was strengthened by a 2011 decision of the WHO Executive Board and the International Health Regulations (2005).The decision states that the WHO ""Director-General should, where appropriate, work closely with Member States that are planning and conducting mass gatherings to support cooperation and communication between the concerned health authorities in each country, and help Member States strengthen capacities to better utilize the International Health Regulations (2005)"".The International Health Regulations (2005) mandate that, ""WHO works with Member States to develop the necessary policies, measures and instruments for managing the potential public health risks associated with mass gathering events."""
Does WHO have the power to cancel or move mass gatherings?,"The decision to cancel, restrict, modify or proceed with any mass gathering event can only be made based on an event - and country-specific risk assessment conducted by the organizers of the event.WHO may provide advice and technical guidance to host countries on public health risks, but has no decision power to uphold, cancel or postpone mass gatherings hosted by Member States."
Why is emergency risk communication guidance needed?,"During public health emergencies, people need to know what health risks they face, and what actions they can take to protect their lives, their health, their families and communities.Accurate information, provided early, often, and in language and channels people understand, trust and use, enables people to make choices that can protect them from health hazards threatening their lives and well-being."
What is new about this guidance?,"WHO has manuals, training modules and other forms of emergency communication and risk communication guidance based on expert opinion or lessons drawn from major environmental disasters, such as the SARS outbreak of 2003 and the H1N1 influenza pandemic of 2009, rather than systematic analysis of the evidence. This is the first ever evidence-based risk communications guidance.The recommendations in this guidance are based on a systematic search of the evidence on key issues in emergency risk communication practice and experience. Not only was the academic structured evidence searched but also ‘grey literature’ to ensure that the lessons learned from recent emergencies, such as the West African Ebola virus disease outbreak in 2014–2015 and the global Zika virus outbreak in 2015–2016, were captured and explored fully.Evidence for decision making"
Who should use this guidance?,"These guidelines were developed for policy- and decision-makers responsible for managing emergencies, particularly the public health aspects of emergencies, and practitioners responsible for risk communication before, during and after health emergencies.Other groups expected to use these guidelines are front-line responders, local, national and international development partners, civil society, the private sector and all organizations, private and public, involved in emergency preparedness and response."
What are they key recommendations in this guidance?,"These guidelines provide WHO Member States, partners and stakeholders involved in emergency preparedness and response with evidence-based, up-to-date, systems-focused guidance on:building trust and engaging with communities and affected populations;integrating risk communication into existing national and local emergency preparedness and response structures, including building capacity for risk communication;emergency risk communication practice - from planning, messaging, channels and methods of communication and engagement to monitoring and evaluation - based on a systematic assessment of the evidence on what worked and what did not work during recent emergencies."
How should these guidelines be used?,"The recommendations in these guidelines provide overarching, evidence-based guidance on how risk communication should be practiced in an emergency. The recommendations also guide countries to build capacity for communicating risk during health emergencies. Specific ‘how-to-do-it’ step-by-step instructions are beyond the remit of these guidelines. However, in due course, these will be provided in detailed manuals, standard operating procedures, pocket guides, checklists, training modules and other tools developed to elaborate the recommendations."
What is the deadliest disease in the world?,"The results of ranking the leading causes of death are subject to the cause categories used. The broader the cause categories used, the more likely they will rank among the top leading causes of death.
    According to the estimates in the Causes of death 2008 update, there were 57 million deaths in the world in 2008. The broad category of all ""noncommunicable diseases"" killed 36 million people; communicable diseases, maternal and perinatal
        conditions, and nutritional conditions killed 16 million people worldwide; and external causes of injuries killed 5 million people.The following are the leading causes of death:"
What is guinea worm? Is it a real worm?,"Guinea worm is, in fact, a real worm. It is a large nematode, Dracunculus medinensis,
 which is ingested through drinking contaminated water. The condition is
 known as dracunculiasis or guinea-worm disease. The worm eventually 
causes a debilitating and painful infection that begins with a blister, 
normally on the leg. Around the time of its eruption, the person may 
experience itching, fever, swelling, severe pain and a burning 
sensation. 
		Infected people often try to relieve the pain by immersing the
 infected part in water. If it is immersed in open water sources such as
 ponds and shallow step wells the worm emerges and releases thousands of
 larvae. The larva is ingested by a water flea (cyclop), where it 
develops and becomes infective in two weeks. When a person drinks the 
water, the cyclop is killed by the acidity of the stomach and the larva 
is freed and penetrates the gut wall. After about one year, a blister 
forms and the mature worm, one metre long, emerges thus repeating the 
life-cycle.At the beginning of the 20th century, guinea-worm disease was 
widespread in many countries in Africa and Asia. Out of 20 countries 
that were endemic worldwide in the early 1980s, only Chad, Ethiopia, and
 South Sudan – all from the African continent – are currently endemic. 
In 2015, only 251 cases were reported to WHO."
What is e-accessibility?,"Electronic accessibility, or E-Accessibility, refers to the 
ease of use of information and communication technologies (ICTs), such 
as the Internet, by people with disability. Web sites need to be 
developed so that disabled users can access the information. For 
example:
for people who are blind, web sites need to be able to be 
interpreted by programmes which read text aloud and describe any visual 
images; for people who have low vision, web pages need adjustable sized fonts and sharply contrasting colours; and for people who are deaf or hard of hearing, audio content should 
be accompanied by text versions of the dialogue. Sign language video can
 also help make audio content more accessible.
	 
Internationally, the Web Content Accessibility Guidelines, 
prepared by the World Wide Web Consortium (W3C) provide standards for 
web accessibility. The Convention on the Rights of Persons with 
Disabilities, which came into force on May 3, 2008 draws attention to 
the need to ensure access to ICTs for people with disability on an 
equal basis with others and will help to eliminate barriers to 
information, including through the Internet. At the national level, laws
 and regulations can promote compliance with accessibility standards.The use of ICTs, such as the Internet, is rapidly becoming an 
essential part of the economic, educational and social life of many 
people today. Therefore it is vital that web sites can  be used by all, 
so that  people with disability have the same access to information 
as everyone else.Related linksWeb content accessibility guidelines"
What is sleeping sickness?,"Sleeping sickness, also called ""human African trypanosomiasis"",
 is a widespread tropical disease that can be fatal if not treated. It 
is spread by the bite of an infected tsetse fly (Glossina Genus),
 a species native to the African continent. More than sixty million 
people who live mainly in rural parts of East, West and Central Africa 
are at risk of contracting sleeping sickness.
		The tsetse fly bite erupts into a red sore and within a few 
weeks the person can experience fever, swollen lymph glands, aching 
muscles and joints, headaches and irritability. In advanced stages, the 
disease attacks the central nervous system and people present with 
changes in personality, alteration of the biological clock (the 
circadian rhythm), confusion, slurred speech, seizures and difficulty in
 walking and talking. These problems can develop over many years and if 
not treated, the person dies.   The main approaches to controlling African trypanosomiasis are
 to reduce the reservoirs of infection and the presence of the tsetse 
fly. Screening of people at risk helps identify patients at an early 
stage. Diagnosis should be made as early as possible and before the 
advanced stage to avoid complicated, difficult and risky treatment 
procedures."
What is dengue and how is it treated?,"Dengue is a viral infection transmitted by the bite of an
infected female Aedes mosquito. There are four distinct serotypes of the
dengue virus (DEN 1, DEN 2, DEN 3 and DEN 4). Symptoms appear in 3–14
days (average 4–7 days) after the infective bite. Dengue fever is a
flu-like illness that affects infants, young children and adults.
There is no specific treatment for dengue fever. Severe dengue
is a potentially lethal complication but early clinical diagnosis and
careful clinical management by experienced physicians and nurses often
save lives.
More than 70% of the disease burden is in South-East Asia and
the Western Pacific. In Latin America and the Caribbean, the incidence
and severity of disease have increased rapidly in recent years. The
African and Eastern Mediterranean regions have also recorded more
outbreaks of the disease in the last ten years. Since 2010 indigenous
transmission of dengue has also been reported in Europe. Urbanization,
rapid movement of people and goods, favorable climatic conditions and
lack of trained staff have all contributed to the global increase of
dengue."
What are the public health implications of global ageing?,"From 2000 until 2050, the world's population aged 60 and over 
will more than triple from 600 million to 2 billion. Most of this 
increase is occurring in less developed countries - where the number of 
older people will rise from 400 million in 2000 to 1.7 billion by 2050.
		This demographic change has several implications for public 
health. Good health is  key if older people are to remain independent 
and to play a part in family and community life. Life-long health 
promotion and disease prevention activities can prevent or delay the 
onset of noncommunicable and chronic diseases, such as heart disease, 
stroke and cancer. 

 But these diseases also need to be detected and treated early 
to minimize their consequences, and those who have an advanced disease 
will need decent long term care and support.  These services are best 
delivered through comprehensive primary care.Public health action can also draw on the capacities of older 
people. For example, the world's growing population of older people 
plays a critical role through volunteering, transmitting experience and 
knowledge, helping their families with caring responsibilities and 
increasing their participation in the paid labour force.Related linksOur ageing world"
What are the main differences between rich and poor countries with respect to causes of death?,"In high-income countries, 7 in every 10 deaths are among people
 aged 70 years and older. People predominantly die of chronic diseases: 
cardiovascular diseases, cancers, dementia, chronic obstructive lung 
disease or diabetes. Lower respiratory infections remain the only 
leading infectious cause of death. Only 1 in every 100 deaths is among 
children under 15 years.
		In middle-income countries, chronic diseases are the major 
killers, just as they are in high-income countries. Unlike in 
high-income countries, however, diarrhoeal diseases, road injury, 
HIV/AIDS and  prematurity also are leading causes of death. In low-income countries, nearly 4 in every 10 deaths are among
 children under 15 years, and only 2 in every 10 deaths are among people
 aged 70 years and older. People predominantly die of infectious 
diseases: lower respiratory infections, HIV/AIDS, diarrhoeal diseases, 
malaria and tuberculosis collectively account for almost one third of 
all deaths in these countries. Complications of childbirth due to 
prematurity, and birth asphyxia and birth trauma are among the leading 
causes of death among children under 5 years old, claiming the lives of 
many newborns and infants. Related linksSummary of World health statistics 2014"
How can violence against children be prevented?,"There are two distinct types of violence experienced by 
children (defined by the United Nations as anyone aged 0-18 years) - 
child maltreatment by parents and caregivers in children aged 0-14, and 
violence occurring in community settings among adolescents aged 15-18 
years. These different types of violence can be prevented by addressing 
the underlying causes and risk factors specific to each type.
		Child maltreatment by parents and caregivers can be prevented by:reducing unintended pregnancies;     reducing harmful levels of alcohol and illicit drug use during pregnancy;reducing harmful levels of alcohol and illicit drug use by new parents;improving access to high quality pre- and post-natal services; providing home visitation services by professional nurses and 
social workers to families where children are at high-risk of 
maltreatment;providing training for parents on child development, non-violent discipline and problem-solving skills.Violence involving children in community settings can be prevented through:pre-school enrichment programmes to give young children an educational head start; life skills training;assisting high-risk adolescents to complete schooling;reducing alcohol availability through the enactment and enforcement of liquor licensing laws, taxation and pricing;restricting access to firearms.Improving the efficiency of pre-hospital and emergency medical
 care will reduce  the risk of death, the time for recovery and the 
level of long-term impairment due to violence. All violence against children and especially child 
maltreatment occurring in the first decade of life is both a problem in 
itself and a major risk factor for other forms of violence and health 
problems through a person's life. For instance, a WHO study estimated 
that the lifetime impact of child sexual abuse accounts for 
approximately 6% of cases of depression, 6% of alcohol and drug 
abuse/dependence, 8% of suicide attempts, 10% of panic disorders and 27%
 of post traumatic stress disorders. Other studies have also linked 
child physical abuse, sexual abuse and other childhood adversities to 
excessive smoking, eating disorders, and high-risk sexual behaviour, 
which in turn are associated with some of the leading causes of death 
including cancers and cardiovascular disorders.WHO supports countries to collect data and information related
 to violence against children, develop national violence prevention 
policies and programmes, and create systems for the provision of 
appropriate medico-legal and emergency trauma care.Related linksChild maltreatment preventionTogether for girls: sexual violence against girlsUNICEF Child ProtectionSpecial Representatives of the United Nations Secretary General on Violence against Children"
What are neurological disorders and how many people are affected by them?,"Neurological disorders are diseases of the central and 
peripheral nervous system. In other words, the brain, spinal cord, 
cranial nerves, peripheral nerves, nerve roots, autonomic nervous 
system, neuromuscular junction, and muscles. These disorders include 
epilepsy, Alzheimer disease and other dementias, cerebrovascular 
diseases including stroke, migraine and other headache disorders, 
multiple sclerosis, Parkinson's disease, neuroinfections, brain tumours,
 traumatic disorders of the nervous system due to head trauma, and 
neurological disorders as a result of malnutrition. 
		Many bacterial (i.e. Mycobacterial tuberculosis, Neisseria 
meningitides), viral (i.e. Human Immunodeficiency Virus (HIV), 
Enteroviruses, West Nile Virus, Zika), fungal (i.e. Cryptococcus, 
Aspergillus), and parasitic (i.e. malaria, Chagas) infections can affect
 the nervous system. Neurological symptoms may occur due to the 
infection itself, or due to an immune response.Hundreds of millions of people worldwide are affected by 
neurological disorders. More than 6 million people die because of stroke
 each year; over 80% of these deaths take place in low- and 
middle-income countries. More than 50 million people have epilepsy 
worldwide. It is estimated that there are globally 47.5 million people 
with dementia with 7.7 million new cases every year - Alzheimer's 
disease is the most common cause of dementia and may contribute to 
60–70% of cases. The prevalence of migraine is more than 10% worldwide."
Overview,"Vaccination is one of the best ways to prevent diseases. In total, vaccines are estimated to save between 2 and 3 million lives every year.Together with governments, vaccines manufacturers, scientists and medical experts, WHO's vaccine safety programme is constantly helping monitor the safety of vaccines.  This helps ensure that vaccines are safe for you and your family."
How do we know that a vaccine is safe?,"The most commonly used vaccines we have today have been in use for decades, with millions of people receiving them safely every year. In addition, there are several new vaccines under development. If approved, these will help prevent more life-threatening diseases – such as COVID-19, Zika or Nipah viruses - or improve the effectiveness of existing vaccines. As with all medicines, every vaccine needs to go through extensive and rigorous testing before it can be introduced in a country. Once they are in use, they must be continuously monitored to make sure they are safe for the people who receive them."
Are there side effects from vaccines?,"Vaccines are very safe. As with all medicines, side effects can occur after getting a vaccine. However, these are usually very minor and of short duration, such as a sore arm or a mild fever. More serious side effects are possible, but extremely rare. A person is far more likely to be seriously harmed by a disease than by a vaccine. Vaccine-preventable diseases like measles, meningitis or polio can be deadly, or cause severe illness and disability. Possible complications of these diseases can include: Blindness; Deafness; Paralysis; Brain damage; Infertility; Cancer; Birth defects; Death."
How are vaccines tested?,"Once a promising vaccine is identified, it will firstly undergo scrupulous laboratory testing. This includes careful examination and testing of the vaccine and its ingredients. These tests evaluate the safety of the vaccine, and how well it prevents a disease.If positive results are achieved in the lab, a manufacturer can then apply to do clinical trials. These trials typically involve several thousand healthy volunteers participants on a voluntary basis, whose safety is ensured by national regulatory authorities, and last for many years. The trials are bound by strict regulations and take place across three main phases:During Phase I, small groups (approximately 20-50 people) receive the vaccine. This phase will assess the safety, side effects, appropriate dosage, method of administration and composition of the vaccine.If it is successful, it will proceed to Phase II. At this stage, the vaccine is usually given to several hundred people. This group will have the same characteristics (e.g. age, sex) as the people for whom the vaccine is intended to be given.In Phase III, the vaccine is usually given to thousands of people to help ensure it is safe and effective for broader use.The results of all these studies will be assessed when regulators decide whether to approve a vaccine. Studies may also take place after a vaccine is introduced. They enable scientists to monitor efficacy and safety among an even larger number of people, over a longer timeframe."
Who approves a vaccine?,"In countries where vaccines are manufactured, national or regional regulators oversee a vaccine’s development. This includes approving clinical trials, evaluating their results, and taking decisions on licensing. In deciding, regulators must refer to very strict international standards on acceptable ethical clinical practice.Once a vaccine has been developed, national regulators decide whether to introduce a vaccine in their countries. WHO provides information to support this process, through comprehensive evaluation of the available evidence, and its regularly updated position papers on vaccines."
How is vaccine safety monitored?,"As with all medicines, the safety of a vaccine must be continuously monitored, even after trials and vaccine introduction. This monitoring considers reports from several sources. Nationally, these include the people who get vaccines, parents or caregivers, and health workers. These reports are then submitted to national health authorities.At a regional and global level, WHO and UNICEF support countries in collecting and monitoring this information, and ensuring countries have the most up to date evidence on available vaccines."
What happens if a problem is suspected with a vaccine?,"If a potential problem is reported following vaccination, a thorough investigation will take place. Investigations involve a thorough examination of the case in question, including medical assessment. If necessary, detailed studies are conducted.During these investigations, it is extremely rare that health problems are found to be caused by the vaccine itself. Health events are most often found to be coincidental, i.e. entirely unrelated to vaccination. Sometimes, they are related to how the vaccine has been stored, transported or administered (for instance, where errors are made in preparing the vaccine). Such errors can be prevented by training health workers, and strengthening vaccination programmes.In the rare cases where a genuine adverse reaction is suspected, the vaccine may be suspended from use. Further investigations will take place to determine what exactly caused the event, and corrective measures put in place."
How does WHO help ensure vaccine safety?,"WHO works to make sure that everyone, everywhere is protected by safe and effective vaccines. To do this, we help countries set up rigorous safety systems for vaccines – alongside other medicines - and work to develop the strictest standards for their regulation. Together with external scientists, WHO experts are continuously monitoring and updating the safety profile of more than 20 vaccines. With external partners, it also helps countries investigate and communicate if potential issues of concern arise.Events that are reported to WHO are evaluated by an independent group of experts (the Global Advisory Committee on Vaccine Safety, or GACVS). On behalf of this committee, WHO issues regular statements on vaccine safety. For more information on how vaccines work, see our Q&A on vaccines."
What is vaccination?,"Vaccination is a simple, safe, and effective way of protecting people against harmful diseases, before they come into contact with them. It uses your body’s natural defenses to build resistance to specific infections and makes your immune system stronger. 
Vaccines train your immune system to create antibodies, just as it does when it’s exposed to a disease. However, because vaccines contain only killed or weakened forms of germs like viruses or bacteria, they do not cause the disease or put you at risk of its complications.
Most vaccines are given by an injection, but some are given orally (by mouth) or sprayed into the nose."
Why is vaccination important?,"Vaccination is a safe and effective way to prevent disease and save lives – now more than ever. Today there are vaccines available to protect against at least 20 diseases, such as diphtheria, tetanus, pertussis, influenza and measles. Together, these vaccines save the lives of up to 3 million people every year.When we get vaccinated, we aren’t just protecting ourselves, but also those around us. Some people, like those who are seriously ill, are advised not to get certain vaccines – so they depend on the rest of us to get vaccinated and help reduce the spread of disease. During the COVID-19 pandemic, vaccination continues to be critically important. The pandemic has caused a decline in the number of children receiving routine immunizations, which could lead to an increase in illness and death from preventable diseases. WHO has  urged countries to ensure that essential immunization and health services continue, despite the challenges posed by COVID-19.More information about the importance of vaccines is available here."
How does a vaccine work?,"Vaccines reduce risks of getting a disease by working with your body’s natural defenses to build protection. When you get a vaccine, your immune system responds. It:


Recognizes the invading germ, such as the virus or bacteria.


Produces antibodies. Antibodies are proteins produced naturally by the immune system to fight disease. 


Remembers the disease and how to fight it. If you are then exposed to the germ in the future, your immune system can quickly destroy it before you become unwell.


The vaccine is therefore a safe and clever way to produce an immune response in the body, without causing illness.
Our immune systems are designed to remember. Once exposed to one or more doses of a vaccine, we typically remain protected against a disease for years, decades or even a lifetime. This is what makes vaccines so effective. Rather than treating a disease after it occurs, vaccines prevent us in the first instance from getting sick."
How do vaccines protect individuals and communities?,"Vaccines work by training and preparing the body’s natural defences – the immune system – to recognize and fight off viruses and bacteria. If the body is exposed to those disease-causing pathogens later, it will be ready to destroy them quickly – which prevents illness.When a person gets vaccinated against a disease, their risk of infection is also reduced – so they’re also far less likely to transmit the disease to others. As more people in a community get vaccinated, fewer people remain vulnerable, and there is less possibility for passing the pathogen on from person to person. Lowering the possibility for a pathogen to circulate in the community protects those who cannot be vaccinated due to other serious health conditions from the disease targeted by the vaccine. This is called “herd immunity.” “Herd immunity” exists when a high percentage of the population is vaccinated, making it difficult for infectious diseases to spread, because there are not many people who can be infected. But herd immunity only works if most people are vaccinated. At the same time, herd immunity does not protect against all vaccine-preventable diseases. For example, tetanus is caught from bacteria in the environment, not from other people, so those who are unimmunized are not protected from the disease even if most of the rest of the community is vaccinated."
Why should I get vaccinated?,"Without vaccines, we are at risk of serious illness and disability from diseases like measles, meningitis, pneumonia, tetanus and polio. Many of these diseases can be life-threatening. WHO estimates that vaccines save between 2 and 3 million lives every year.
Although some diseases may have become uncommon, the germs that cause them continue to circulate in some or all parts of the world. In today’s world, infectious diseases can easily cross borders, and infect anyone who is not protected
 Two key reasons to get vaccinated are to protect ourselves and to protect those around us. Because not everyone can be vaccinated – including very young babies, those who are seriously ill or have certain allergies – they depend on others being vaccinated to ensure they are also safe from vaccine-preventable diseases."
What diseases do vaccines prevent?,"Vaccines protect against many different diseases, including:

Cervical cancer
Cholera
Diphtheria
Hepatitis B
Influenza
Japanese encephalitis
Measles
Meningitis
Mumps
Pertussis
Pneumonia
Polio
Rabies
Rotavirus
Rubella
Tetanus
Typhoid
Varicella
Yellow fever


Some other vaccines are currently under development or being piloted, including those that protect against Ebola or malaria, but are not yet widely available globally.

Not all of these vaccinations may be needed in your country. Some may only be given prior to travel, in areas of risk, or to people in high-risk occupations. Talk to your healthcare worker to find out what vaccinations are needed for you and your family.


Should my daughter get vaccinated against human papillomavirus (HPV)?

Virtually all cervical cancer cases start with a sexually transmitted HPV infection. If given before exposure to the virus, vaccination offers the best protection against this disease. Following vaccination, reductions of up to 90% in HPV infections in teenage girls and young women have been demonstrated by studies conducted in Australia, Belgium, Germany, New Zealand, Sweden, the United Kingdom and the United States of America.
In studies, the HPV vaccine has been shown to be safe and effective. WHO recommends that all girls aged 9–14 years receive 2 doses of the vaccine, alongside cervical cancer screening later in life."
